PoW_Block@YAPnsN7hvd:0
1,0
4,253
9,477
5,692
2,864
3,914
6,1242
10,1571
8,2015
7,2512

PoW_Block@1NROlLADEt:1
2,0
10,326
6,581
3,928
1,948
4,1287
7,1362
5,1630
9,1980
8,2397

PoW_Block@meVupckg7H:2
3,0
9,249
4,471
1,688
5,940
6,1271
10,1610
2,1938
8,2381
7,2879

PoW_Block@OFxlguZWz4:3
3,0
9,248
5,462
4,676
1,891
2,1224
10,1551
6,1884
8,2325
7,2832

PoW_Block@isKtNRF1XY:4
2,0
6,327
10,581
4,926
1,949
3,1275
7,1366
9,1634
5,1977
8,2395

PoW_Block@QNfm19KmlD:5
4,0
3,251
1,465
5,679
9,905
10,1233
2,1571
6,1899
8,2344
7,2842

PoW_Block@JXpj9OfH7O:6
1,0
3,256
9,472
4,689
2,864
5,905
10,1234
6,1561
8,2004
7,2505

PoW_Block@jjlsMb9jE7:6
6,0
10,331
2,590
5,942
9,1296
3,1649
1,1993
4,2346
7,2757
8,3199

PoW_Block@PsrCSMZqp3:7
5,0
1,262
9,477
3,705
4,920
6,1253
2,1583
10,1912
8,2352
7,2858

PoW_Block@cz3ue7tZDa:8
3,0
5,252
9,467
4,684
1,900
2,1228
6,1567
10,1902
8,2348
7,2859

PoW_Block@gw33ILdG7m:9
10,0
6,332
2,586
5,933
9,1282
3,1629
1,1977
4,2321
7,2733
8,3164

PoW_Block@yBpgJNnmXZ:10
5,0
1,253
4,467
9,682
3,902
6,1233
2,1568
10,1911
8,2352
7,2858

